PODSKUPINA,Trieda,Množstvový limit,Limit Value,Limit Unit,Monthly Limit,Unit,Yearly Limit
A1,"A1.1 Obväz hydrofilný, sterilný",10 kusov za mesiac,10.0,kusov za mesiac,10.0,kusov,120.0
,"A1.2 Obväz hydrofilný, nesterilný",10 kusov za mesiac,10.0,kusov za mesiac,10.0,kusov,120.0
A2,A2.1 Gáza hydrofilná rolovaná,kus za 2 mesiace,,,,,
,"A2.2 Gáza hydrofilná, zložky",10 kusov za mesiac,10.0,kusov za mesiac,10.0,kusov,120.0
A3,A3 Gázové skrútené tampóny,100 kusov za mesiac ,100.0,kusov za mesiac,100.0,kusov,1200.0
,,100 kusov za 2 mesiace ,100.0,kusov za dva mesiace,,,
,,100 kusov za 3 mesiace,100.0,kusov za tri mesiace,,,
A4,A4.1 Gázové kompresy sterilné,100 kusov za mesiac ,100.0,kusov za mesiac,100.0,kusov,1200.0
,A4.2 Gázové kompresy nesterilné,100 kusov za mesiac,100.0,kusov za mesiac,100.0,kusov,1200.0
A5,A5.1 Vata vinutá,1000 g za mesiac,1000.0,g za mesiac,1000.0,g,12000.0
,A5.2 Vata v rezoch,1000 g za mesiac,1000.0,g za mesiac,1000.0,g,12000.0
,A5.3 Vatový vankúšik,100 kusov za mesiac,100.0,kusov za mesiac,100.0,kusov,1200.0
A6,A6 Obväz hadičkový,3 metre za mesiac,,,,,
A7,A7 Obväz elastický,4 kusy za mesiac,,,,,
A8,"A8.1.1 Obväz hydrokoloidný, štandardný","Potrebné množstvo zdravotníckych pomôcok na vlhké hojenie rán musí lekár zdôvodniť v zdravotnej dokumentácii pri každom predpise (veľkosť rany, veľkosť a množstvo materiálu potrebného na 1 preväz, nevyhnutnú frekvenciu preväzov počas určeného obdobia do ďalšieho predpisu – spravidla mesiac).",,,,,
,"A8.1.2 Obväz hydrokoloidný, tenký","Potrebné množstvo zdravotníckych pomôcok na vlhké hojenie rán musí lekár zdôvodniť v zdravotnej dokumentácii pri každom predpise (veľkosť rany, veľkosť a množstvo materiálu, potrebného na 1 preväz, nevyhnutnú frekvenciu preväzov počas určeného obdobia do ďalšieho predpisu – spravidla mesiac).",,,,,
,A8.2 Obväz s aktívnym uhlím,"Potrebné množstvo zdravotníckych pomôcok na vlhké hojenie rán musí lekár zdôvodniť v zdravotnej dokumentácii pri každom predpise (veľkosť rany, veľkosť a množstvo materiálu, potrebného na 1 preväz, nevyhnutnú frekvenciu preväzov počas určeného obdobia do ďalšieho predpisu – spravidla mesiac).",,,,,
,A8.3.1 Obväz s aktívnym jódom,"Potrebné množstvo zdravotníckych pomôcok na vlhké hojenie rán musí lekár zdôvodniť v zdravotnej dokumentácii pri každom predpise (veľkosť rany, veľkosť a množstvo materiálu, potrebného na 1 preväz, nevyhnutnú frekvenciu preväzov počas určeného obdobia do ďalšieho predpisu – spravidla mesiac).",,,,,
,A8.3.2 Masť s aktívnym jódom,"Potrebné množstvo zdravotníckych pomôcok na vlhké hojenie rán musí lekár zdôvodniť v zdravotnej dokumentácii pri každom predpise (veľkosť rany, veľkosť a množstvo materiálu, potrebného na 1 preväz, nevyhnutnú frekvenciu preväzov počas určeného obdobia do ďalšieho predpisu – spravidla mesiac).",,,,,
,A8.3.3 Prášok s aktívnym jódom,"Potrebné množstvo zdravotníckych pomôcok na vlhké hojenie rán musí lekár zdôvodniť v zdravovotnej dokumentácii pri každom predpise (veľkosť rany, veľkosť a množstvo materiálu potrebného na 1 preväz, nevyhnutnú frekvenciu preväzov počas určeného obdobia do ďalšieho predpisu – maximálne mesiac).",,,,,
,A8.4.1 Hydrogél tuba,"Potrebné množstvo zdravotníckych pomôcok na vlhké hojenie rán musí lekár zdôvodniť v zdravotnej dokumentácii pri každom predpise (veľkosť rany, veľkosť a množstvo materiálu, potrebného na 1 preväz, nevyhnutnú frekvenciu preväzov počas určeného obdobia do ďalšieho predpisu – spravidla mesiac).",,,,,
,A8.4.2 Obväz hydrogélový,"Potrebné množstvo zdravotníckych pomôcok na vlhké hojenie rán musí lekár zdôvodniť v zdravotnej dokumentácii pri každom predpise (veľkosť rany, veľkosť a množstvo materiálu, potrebného na 1 preväz, nevyhnutnú frekvenciu preväzov počas určeného obdobia do ďalšieho predpisu – spravidla mesiac).",,,,,
,A8.5.1 Obväz alginátový,"Potrebné množstvo zdravotníckych pomôcok na vlhké hojenie rán musí lekár zdôvodniť v zdravotnej dokumentácii pri každom predpise (veľkosť rany, veľkosť a množstvo materiálu, potrebného na 1 preväz, nevyhnutnú frekvenciu preväzov počas určeného obdobia do ďalšieho predpisu – spravidla mesiac).",,,,,
,A8.5.2 Výplň alginátová,"Potrebné množstvo zdravotníckych pomôcok na vlhké hojenie rán musí lekár zdôvodniť v zdravotnej dokumentácii pri každom predpise (veľkosť rany, veľkosť a množstvo materiálu, potrebného na 1 preväz, nevyhnutnú frekvenciu preväzov počas určeného obdobia do ďalšieho predpisu – spravidla mesiac).",,,,,
,A8.6.1 Obväz hydropolymérový,"Potrebné množstvo zdravotníckych pomôcok na vlhké hojenie rán musí lekár zdôvodniť v zdravotnej dokumentácii pri každom predpise (veľkosť rany, veľkosť a množstvo materiálu, potrebného na 1 preväz, nevyhnutnú frekvenciu preväzov počas určeného obdobia do ďalšieho predpisu – spravidla mesiac).",,,,,
,A8.6.2 Obväz polyuretánový,"Potrebné množstvo zdravotníckych pomôcok na vlhké hojenie rán musí lekár zdôvodniť v zdravotnej dokumentácii pri každom predpise (veľkosť rany, veľkosť a množstvo materiálu, potrebného na 1 preväz, nevyhnutnú frekvenciu preväzov počas určeného obdobia do ďalšieho predpisu – spravidla mesiac).",,,,,
,A8.7 Polyakrylátové krytie na autolytické čistenie rán,"Potrebné množstvo zdravotníckych pomôcok na vlhké hojenie rán musí lekár zdôvodniť v zdravotnej dokumentácii pri každom predpise (veľkosť rany, veľkosť a množstvo materiálu, potrebného na 1 preväz, nevyhnutnú frekvenciu preväzov počas určeného obdobia do ďalšieho predpisu – spravidla mesiac).",,,,,
,A8.8 Mastný tyl sterilný,"Potrebné množstvo zdravotníckych pomôcok na vlhké hojenie rán musí lekár zdôvodniť v zdravotnej dokumentácii pri každom predpise (veľkosť rany, veľkosť a množstvo materiálu, potrebného na 1 preväz, nevyhnutnú frekvenciu preväzov počas určeného obdobia do ďalšieho predpisu – spravidla mesiac).",,,,,
,A8.9 Obväz hydrovláknitý,"Potrebné množstvo zdravotníckych pomôcok na vlhké hojenie rán musí lekár zdôvodniť v zdravotnej dokumentácii pri každom predpise (veľkosť rany, veľkosť a množstvo materiálu, potrebného na 1 preväz, nevyhnutnú frekvenciu preväzov počas určeného obdobia do ďalšieho predpisu – spravidla mesiac).",,,,,
,A8.10.2 Remodelujúci materiál na patologické jazvy,15 g jednorazovo,15.0,g jednorazovo,,,
,A8.12 Membránové krytie,"Potrebné množstvo zdravotníckych pomôcok na vlhké hojenie rán musí lekár zdôvodniť v zdravotnej dokumentácii pri každom predpise (veľkosť rany, veľkosť a množstvo materiálu, potrebného na 1 preväz, nevyhnutnú frekvenciu preväzov počas určeného obdobia do ďalšieho predpisu – spravidla mesiac).",,,,,
,A8.13.1 Superabsorbent vysoko savý,"Potrebné množstvo zdravotníckych pomôcok na vlhké hojenie rán musí lekár zdôvodniť v zdravotnej dokumentácii pri každom predpise (veľkosť rany, veľkosť a množstvo materiálu, potrebného na 1 preväz, nevyhnutnú frekvenciu preväzov počas určeného obdobia do ďalšieho predpisu – spravidla mesiac).",,,,,
,A8.13.2 Roztoky na výplach rán,"Potrebné množstvo zdravotníckych pomôcok na vlhké hojenie rán musí lekár zdôvodniť v zdravotnej dokumentácii pri každom predpise (veľkosť rany, veľkosť a množstvo materiálu, potrebného na 1 preväz, nevyhnutnú frekvenciu preväzov počas určeného obdobia do ďalšieho predpisu – spravidla mesiac).",,,,,
,A8.13.3 Hydrobalančné obväzy,"Potrebné množstvo zdravotníckych pomôcok na vlhké hojenie rán musí lekár zdôvodniť v zdravotnej dokumentácii pri každom predpise (veľkosť rany, veľkosť a množstvo materiálu, potrebného na 1 preväz, nevyhnutnú frekvenciu preväzov počas určeného obdobia do ďalšieho predpisu – spravidla mesiac).",,,,,
,A8.13.4.1 Neadherentné obväzy do 50 cm2 vrátane,"Potrebné množstvo zdravotníckych pomôcok na vlhké hojenie rán musí lekár zdôvodniť v zdravotnej dokumentácii pri každom predpise (veľkosť rany, veľkosť a množstvo materiálu, potrebného na 1 preväz, nevyhnutnú frekvenciu preväzov počas určeného obdobia do ďalšieho predpisu – spravidla mesiac).",,,,,
,A8.13.4.2 Neadherentné obväzy do 100 cm2 vrátane,,,,,,
,A8.13.4.3 Neadherentné obväzy nad 100 cm2 vrátane,,,,,,
